Plant_ID,Date,Humidity (%),TDS Value (ppm),pH Level,Growth Weeks,Growth Days,Temperature(C),Temperature (F),Humidity
1,08/03/2023,53,582,6.4,0,1,33.4,92.12,0.53
1,08/04/2023,53,451,6.1,0,2,33.5,92.3,0.53
1,08/05/2023,59,678,6.4,0,3,33.4,92.12,0.59
1,08/06/2023,68,420,6.4,1,4,33.4,92.12,0.68
1,08/07/2023,74,637,6.5,1,5,33.4,92.12,0.74
1,08/08/2023,77,478,6.8,1,6,32.3,90.14,0.77
1,08/09/2023,75,682,6,1,7,32.3,90.14,0.75
1,08/10/2023,63,576,6.3,1,8,22.7,72.86,0.63
1,08/11/2023,69,662,6.1,1,9,31.9,89.42,0.69
1,08/12/2023,59,607,6.2,1,10,30.2,86.36,0.59
1,8/13/2023,77,670,6.5,2,11,30.1,86.18,0.77
1,8/14/2023,54,535,6.4,2,12,30.1,86.18,0.54
1,8/15/2023,78,480,6,2,13,30.1,86.18,0.78
1,8/16/2023,56,688,6.4,2,14,29.8,85.64,0.56
1,8/17/2023,62,653,6.6,2,15,29.6,85.28,0.62
1,8/18/2023,70,742,6.1,2,16,30.9,87.62,0.7
1,8/19/2023,57,580,6.2,2,17,30.8,87.44,0.57
1,8/20/2023,78,789,6.5,3,18,30.9,87.62,0.78
1,8/21/2023,63,516,6,3,19,30.2,86.36,0.63
1,8/22/2023,51,527,6.4,3,20,30.5,86.9,0.51
1,8/23/2023,57,669,6.2,3,21,30.8,87.44,0.57
1,8/24/2023,73,645,6.6,3,22,31.3,88.34,0.73
1,8/25/2023,52,744,6.8,3,23,31.4,88.52,0.52
1,8/26/2023,61,719,6.4,3,24,31.4,88.52,0.61
1,8/27/2023,77,589,6.7,4,25,30.1,86.18,0.77
1,8/28/2023,71,654,6.4,4,26,29.4,84.92,0.71
1,8/29/2023,64,451,6.4,4,27,28.7,83.66,0.64
1,8/30/2023,51,623,6.6,4,28,29.1,84.38,0.51
1,8/31/2023,55,680,6.7,4,29,29.2,84.56,0.55
1,09/01/2023,50,601,6.4,4,30,31.7,89.06,0.5
1,09/02/2023,52,603,6.7,4,31,31.7,89.06,0.52
1,09/03/2023,76,762,6.7,5,32,31.7,89.06,0.76
1,09/04/2023,55,517,6,5,33,31.7,89.06,0.55
1,09/05/2023,55,743,6.6,5,34,32,89.6,0.55
1,09/06/2023,76,709,6,5,35,32.1,89.78,0.76
1,09/07/2023,68,416,6.2,5,36,31.5,88.7,0.68
1,09/08/2023,68,577,6.3,5,37,29.8,85.64,0.68
1,09/09/2023,61,621,6.5,5,38,20.1,68.18,0.61
1,09/10/2023,64,478,6,6,39,31.1,87.98,0.64
1,09/11/2023,79,672,6.3,6,40,31.2,88.16,0.79
1,09/12/2023,62,576,6.7,6,41,31.2,88.16,0.62
1,9/13/2023,57,726,6.1,6,42,30.4,86.72,0.57
1,9/14/2023,75,636,6.8,6,43,29.1,84.38,0.75
1,9/15/2023,55,688,6.6,6,44,30.6,87.08,0.55
1,9/16/2023,68,637,6.2,6,45,31.5,88.7,0.68
2,08/03/2023,74,586,6.1,0,1,33.4,92.12,0.74
2,08/04/2023,65,433,6.8,0,2,33.5,92.3,0.65
2,08/05/2023,55,749,6.7,0,3,33.4,92.12,0.55
2,08/06/2023,68,680,6.8,1,4,33.4,92.12,0.68
2,08/07/2023,50,488,6.4,1,5,33.4,92.12,0.5
2,08/08/2023,78,697,6.3,1,6,32.3,90.14,0.78
2,08/09/2023,77,624,6.6,1,7,32.3,90.14,0.77
2,08/10/2023,57,593,6.5,1,8,22.7,72.86,0.57
2,08/11/2023,73,564,6.1,1,9,31.9,89.42,0.73
2,08/12/2023,65,416,6.6,1,10,30.2,86.36,0.65
2,8/13/2023,71,664,6.4,2,11,30.1,86.18,0.71
2,8/14/2023,65,746,6.8,2,12,30.1,86.18,0.65
2,8/15/2023,75,646,6.3,2,13,30.1,86.18,0.75
2,8/16/2023,58,413,6.5,2,14,29.8,85.64,0.58
2,8/17/2023,50,487,6.7,2,15,29.6,85.28,0.5
2,8/18/2023,79,564,6.2,2,16,30.9,87.62,0.79
2,8/19/2023,56,430,6.5,2,17,30.8,87.44,0.56
